filename,topic,outlet,article,likes,shares,comments,nv1,proximity,clickbait,direction,personalization,filename_surveycompany
centralize_dagbladet_0_23 liker_987 delinger_4 kommentarer_cropped.png,centralize,dagbladet,0,23,987,4,positive,Norway,True,centralize,True,02764.png
centralize_vg_0_23 liker_987 delinger_4 kommentarer_cropped.png,centralize,vg,0,23,987,4,positive,Norway,True,centralize,True,02881.png
"centralize_klassekampen_0_6,7k liker_7 delinger_4 kommentarer_cropped.png",centralize,klassekampen,0,"6,7k",7,4,positive,Norway,True,centralize,True,02894.png
centralize_resett_0_23 liker_987 delinger_432 kommentarer_cropped.png,centralize,resett,0,23,987,432,positive,Norway,True,centralize,True,02941.png
"centralize_dagbladet_0_6,7k liker_987 delinger_432 kommentarer_cropped.png",centralize,dagbladet,0,"6,7k",987,432,positive,Norway,True,centralize,True,03012.png
"centralize_aftenposten_0_6,7k liker_987 delinger_432 kommentarer_cropped.png",centralize,aftenposten,0,"6,7k",987,432,positive,Norway,True,centralize,True,03060.png
centralize_nettavisen_0_23 liker_7 delinger_432 kommentarer_cropped.png,centralize,nettavisen,0,23,7,432,positive,Norway,True,centralize,True,03091.png
"centralize_nrk_0_6,7k liker_7 delinger_4 kommentarer_cropped.png",centralize,nrk,0,"6,7k",7,4,positive,Norway,True,centralize,True,03129.png
centralize_nrk_0_23 liker_7 delinger_432 kommentarer_cropped.png,centralize,nrk,0,23,7,432,positive,Norway,True,centralize,True,03163.png
"centralize_vg_0_6,7k liker_987 delinger_432 kommentarer_cropped.png",centralize,vg,0,"6,7k",987,432,positive,Norway,True,centralize,True,03284.png
centralize_nrk_0_23 liker_7 delinger_4 kommentarer_cropped.png,centralize,nrk,0,23,7,4,positive,Norway,True,centralize,True,03287.png
centralize_klassekampen_0_23 liker_987 delinger_432 kommentarer_cropped.png,centralize,klassekampen,0,23,987,432,positive,Norway,True,centralize,True,03311.png
"centralize_klassekampen_0_6,7k liker_987 delinger_432 kommentarer_cropped.png",centralize,klassekampen,0,"6,7k",987,432,positive,Norway,True,centralize,True,03335.png
"centralize_nettavisen_0_6,7k liker_7 delinger_432 kommentarer_cropped.png",centralize,nettavisen,0,"6,7k",7,432,positive,Norway,True,centralize,True,03366.png
"centralize_nettavisen_0_6,7k liker_987 delinger_432 kommentarer_cropped.png",centralize,nettavisen,0,"6,7k",987,432,positive,Norway,True,centralize,True,03390.png
"centralize_dagbladet_0_6,7k liker_987 delinger_4 kommentarer_cropped.png",centralize,dagbladet,0,"6,7k",987,4,positive,Norway,True,centralize,True,03528.png
centralize_resett_0_23 liker_7 delinger_432 kommentarer_cropped.png,centralize,resett,0,23,7,432,positive,Norway,True,centralize,True,03614.png
centralize_vg_0_23 liker_7 delinger_432 kommentarer_cropped.png,centralize,vg,0,23,7,432,positive,Norway,True,centralize,True,03718.png
"centralize_vg_0_6,7k liker_7 delinger_4 kommentarer_cropped.png",centralize,vg,0,"6,7k",7,4,positive,Norway,True,centralize,True,03766.png
"centralize_aftenposten_0_6,7k liker_7 delinger_432 kommentarer_cropped.png",centralize,aftenposten,0,"6,7k",7,432,positive,Norway,True,centralize,True,03788.png
"centralize_resett_0_6,7k liker_7 delinger_432 kommentarer_cropped.png",centralize,resett,0,"6,7k",7,432,positive,Norway,True,centralize,True,03805.png
centralize_vg_0_23 liker_7 delinger_4 kommentarer_cropped.png,centralize,vg,0,23,7,4,positive,Norway,True,centralize,True,03828.png
"centralize_nrk_0_6,7k liker_987 delinger_4 kommentarer_cropped.png",centralize,nrk,0,"6,7k",987,4,positive,Norway,True,centralize,True,03844.png
"centralize_resett_0_6,7k liker_7 delinger_4 kommentarer_cropped.png",centralize,resett,0,"6,7k",7,4,positive,Norway,True,centralize,True,03903.png
"centralize_dagbladet_0_6,7k liker_7 delinger_4 kommentarer_cropped.png",centralize,dagbladet,0,"6,7k",7,4,positive,Norway,True,centralize,True,03907.png
centralize_klassekampen_0_23 liker_7 delinger_4 kommentarer_cropped.png,centralize,klassekampen,0,23,7,4,positive,Norway,True,centralize,True,03925.png
"centralize_nettavisen_0_6,7k liker_7 delinger_4 kommentarer_cropped.png",centralize,nettavisen,0,"6,7k",7,4,positive,Norway,True,centralize,True,03991.png
centralize_resett_0_23 liker_7 delinger_4 kommentarer_cropped.png,centralize,resett,0,23,7,4,positive,Norway,True,centralize,True,04214.png
